id,image,text,answer
1,./res/img/set1/set1_01.png,,andover
2,./res/img/set1/set1_02.png,,aurora
3,./res/img/set1/set1_03.png,,avon
4,./res/img/set1/set1_04.png,,bancroft
5,./res/img/set1/set1_05.png,,buchanan
6,./res/img/set1/set1_06.png,,carthage
7,./res/img/set1/set1_07.png,,crawford
8,./res/img/set1/set1_08.png,,dixon
9,./res/img/set1/set1_09.png,,dundee
10,./res/img/set1/set1_10.png,,edgerton
11,./res/img/set1/set1_11.png,,elgin
12,./res/img/set1/set1_12.png,,franklin
13,./res/img/set1/set1_13.png,,fulton
14,./res/img/set1/set1_14.png,,galena
15,./res/img/set1/set1_15.png,,glenwood
16,./res/img/set1/set1_16.png,,hamilton
17,./res/img/set1/set1_17.png,,hancock
18,./res/img/set1/set1_18.png,,johnson
19,./res/img/set1/set1_19.png,,lakeview
20,./res/img/set1/set1_20.png,,leonard
21,./res/img/set1/set1_21.png,,lyons
22,./res/img/set1/set1_22.png,,melrose
23,./res/img/set1/set1_23.png,,midway
24,./res/img/set1/set1_24.png,,newtown
25,./res/img/set1/set1_25.png,,parker
26,./res/img/set1/set1_26.png,,sharon
27,./res/img/set1/set1_27.png,,shelby
28,./res/img/set1/set1_28.png,,union
29,./res/img/set1/set1_29.png,,vernon
30,./res/img/set1/set1_30.png,,viola
